Sex,Age,Fare
male,32,73.5
male,25,13
male,0,S
male,43,8.05
female,1,C126
female,40,39
male,31,52
male,70,10.5
male,31,13
male,0,S
male,18,7.775
male,24.5,8.05
female,18,9.8417
female,43,46.9
male,36,512.3292
female,0,Q
male,27,76.7292
male,20,9.225
male,14,46.9
male,60,39
male,25,41.5792
male,14,39.6875
male,19,10.1708
male,18,7.7958
female,15,211.3375
male,31,57
female,4,13.4167
male,0,S
male,25,7.225
male,60,26.55
male,52,13.5
male,44,8.05
female,0,Q
male,49,110.8833
male,42,7.65
female,18,227.525
male,35,26.2875
female,18,14.4542
male,25,7.7417
male,26,7.8542
male,39,26
female,45,13.5
male,42,26.2875
female,22,151.55
male,1,C
female,24,49.5042
male,0,C124
male,48,52
male,29,9.4833
male,52,13
male,19,7.65
female,38,227.525
female,27,10.5
male,0,Q
male,33,7.775
female,6,33
male,17,7.0542
male,34,13
male,50,13
male,27,53.1
male,20,8.6625
female,30,21
female,0,Q
male,25,26
female,25,7.925
female,29,211.3375
male,11,18.7875
male,0,S
male,23,13
male,23,13
male,28.5,16.1
female,48,34.375
male,35,512.3292
male,0,S
male,0,S
male,0,D45
male,36,78.85
female,21,262.375
male,24,16.1
male,31,7.925
male,70,71
male,16,20.25
female,30,13
male,19,53.1
male,31,7.75
female,4,23
male,6,12.475
male,33,9.5
male,23,7.8958
female,48,65
male,0.67,14.5
male,28,7.7958
male,18,11.5
male,34,8.05
female,33,86.5
male,0,S
male,41,7.125
male,20,7.2292
female,36,120
male,16,7.775
female,51,77.9583
male,0,C
female,30.5,7.75
male,1,Q
male,32,8.3625
male,24,9.5
male,48,7.8542
female,57,10.5
male,0,C
female,54,23
male,18,7.75
male,0,F38
female,5,12.475
male,0,Q
female,43,211.3375
female,13,7.2292
female,17,57
male,29,30
male,1,S
male,25,7.05
male,25,7.25
female,18,7.4958
male,8,29.125
male,1,20.575
male,46,79.2
male,0,Q
male,16,26
female,8,S
male,0,C
male,25,7.8958
male,39,13
female,49,25.9292
female,31,8.6833
male,30,7.2292
female,30,24.15
male,34,13
female,31,26.25
male,11,120
male,0.42,8.5167
male,27,6.975
male,31,7.775
male,39,0
female,18,7.775
male,39,13
female,33,53.1
male,26,7.8875
male,39,24.15
male,35,10.5
female,6,31.275
male,30.5,8.05
male,0,B102
female,23,7.925
male,31,37.0042
male,43,6.45
male,10,27.9
female,52,93.5
male,27,8.6625
male,38,0
female,27,12.475
male,2,39.6875
male,0,Q
male,0,S
male,1,37.0042
male,0,Q
female,62,80
female,15,14.4542
male,0.83,18.75
male,0,C
male,23,7.8542
male,18,8.3
female,39,83.1583
male,21,8.6625
male,0,S
male,32,56.4958
male,0,C47
male,20,7.925
male,16,10.5
female,30,31
male,34.5,6.4375
male,17,8.6625
male,42,7.55
male,8,S
male,35,7.8958
male,28,33
female,1,C92
male,4,31.275
male,74,7.775
female,9,15.2458
female,16,39.4
female,44,26
female,18,9.35
female,45,164.8667
male,51,26.55
female,24,19.2583
male,0,C
male,41,14.1083
male,21,11.5
female,48,25.9292
female,8,S
male,24,13
female,42,13
female,27,13.8583
male,31,50.4958
male,0,S
male,4,11.1333
male,26,7.8958
female,47,52.5542
male,33,5
male,47,9
female,28,24
female,15,7.225
male,20,9.8458
male,19,7.8958
male,0,S
female,56,83.1583
female,25,26
male,33,7.8958
female,22,10.5167
male,28,10.5
male,25,7.05
female,39,29.125
male,27,13
female,19,30
female,1,S
male,26,30
male,32,7.75
